slice_idx,patient_has_et,slice_has_et,slice_has_tc,wt_pixels,tc_pixels,et_pixels,ed_pixels,rough_wt_dsc,rough_wt_hd95,rough_tc_dsc,rough_tc_hd95,rough_et_dsc,rough_et_hd95,rough_ed_dsc,rough_ed_hd95,morpho_wt_dsc,morpho_wt_hd95,morpho_tc_dsc,morpho_tc_hd95,morpho_et_dsc,morpho_et_hd95,morpho_ed_dsc,morpho_ed_hd95,rl_wt_dsc,rl_wt_hd95,rl_tc_dsc,rl_tc_hd95,rl_et_dsc,rl_et_hd95,rl_ed_dsc,rl_ed_hd95
0,True,True,True,49,46,46,3,0.5185,2.83,0.4946,3.0,0.4946,3.0,0.042,11.39,0.5185,2.83,0.4946,3.0,0.4946,3.0,0.042,11.39,0.5421,2.0,0.5,2.24,0.5,2.24,0.0984,8.49
1,True,True,True,102,74,74,28,0.8811,1.0,0.7437,1.47,0.7437,1.47,0.3399,3.16,0.8889,1.0,0.7513,1.41,0.7513,1.41,0.3444,3.16,0.8889,1.0,0.7513,1.41,0.7513,1.41,0.3444,3.16
2,True,True,True,152,122,122,30,0.8727,1.0,0.8067,2.0,0.8067,2.0,0.2212,6.4,0.8807,1.0,0.8148,1.41,0.8148,1.41,0.2244,6.4,0.8807,1.0,0.8148,1.41,0.8148,1.41,0.2244,6.4
3,True,True,True,184,165,161,19,0.8178,2.0,0.7657,2.24,0.7541,2.24,0.1333,7.07,0.8519,1.41,0.799,2.0,0.7873,2.0,0.1423,7.07,0.8519,1.41,0.799,2.0,0.7873,2.0,0.1423,7.07
4,True,True,True,219,203,195,16,0.8844,1.0,0.8512,1.41,0.8316,1.41,0.1034,8.06,0.9083,1.0,0.875,1.0,0.8553,1.0,0.1083,8.1,0.9083,1.0,0.875,1.0,0.8553,1.0,0.1083,8.1
5,True,True,True,269,246,228,23,0.925,1.0,0.8909,1.0,0.8534,1.0,0.1223,6.38,0.9479,1.0,0.9139,1.0,0.876,1.0,0.1286,6.32,0.9479,1.0,0.9139,1.0,0.876,1.0,0.1286,6.32
6,True,True,True,300,287,263,13,0.9437,1.0,0.9475,1.0,0.903,1.0,0.0315,10.77,0.9521,0.0,0.9632,0.0,0.9177,1.0,0.0202,10.82,0.9521,0.0,0.9632,0.0,0.9177,1.0,0.0202,10.82
7,True,True,True,336,322,283,14,0.9601,0.0,0.9502,0.0,0.8846,1.0,0.0563,7.81,0.9522,0.0,0.9451,1.0,0.8784,1.0,0.0517,7.81,0.9601,0.0,0.9502,0.0,0.8846,1.0,0.0563,7.81
8,True,True,True,354,347,293,7,0.9562,0.0,0.9516,0.0,0.867,1.0,0.0261,13.86,0.9627,0.0,0.9609,0.0,0.8761,1.0,0.0213,13.9,0.9627,0.0,0.9609,0.0,0.8761,1.0,0.0213,13.9
9,True,True,True,379,368,297,11,0.9403,1.0,0.9433,1.0,0.8343,1.0,0.0199,14.14,0.9436,1.0,0.9495,0.45,0.8399,1.0,0.0152,14.16,0.9436,1.0,0.9495,0.45,0.8399,1.0,0.0152,14.16
10,True,True,True,400,385,301,15,0.9287,1.0,0.9212,1.0,0.7967,1.41,0.0452,8.54,0.9407,1.0,0.9358,1.0,0.8101,1.21,0.0424,8.54,0.9407,1.0,0.9358,1.0,0.8101,1.21,0.0424,8.54
11,True,True,True,409,388,286,21,0.9211,1.0,0.904,1.0,0.7553,2.0,0.0698,8.25,0.9341,1.0,0.924,1.0,0.773,2.0,0.0606,8.25,0.9341,1.0,0.924,1.0,0.773,2.0,0.0606,8.25
12,True,True,True,437,402,277,35,0.9179,1.0,0.9089,1.0,0.7278,2.0,0.0783,7.62,0.9279,1.0,0.9215,1.0,0.7395,2.0,0.0762,7.62,0.9279,1.0,0.9215,1.0,0.7395,2.0,0.0762,7.62
13,True,True,True,469,414,262,55,0.8887,1.0,0.8875,1.0,0.6709,2.83,0.0871,8.06,0.8994,1.0,0.901,1.0,0.6832,2.24,0.0857,8.06,0.8994,1.0,0.901,1.0,0.6832,2.24,0.0857,8.06
14,True,True,True,493,429,281,64,0.9046,1.0,0.8961,1.0,0.6932,2.24,0.1122,8.18,0.9114,1.0,0.9075,1.0,0.7037,2.24,0.1076,8.25,0.9114,1.0,0.9075,1.0,0.7037,2.24,0.1076,8.25
15,True,True,True,511,439,298,72,0.9282,1.0,0.9165,1.0,0.7295,2.24,0.132,8.06,0.9255,1.0,0.9177,1.0,0.7286,2.24,0.1274,8.06,0.9282,1.0,0.9165,1.0,0.7295,2.24,0.132,8.06
16,True,True,True,519,446,289,73,0.9283,1.0,0.9037,1.0,0.6964,2.24,0.1498,7.62,0.9241,1.0,0.9093,1.0,0.7015,2.24,0.1349,7.62,0.9283,1.0,0.9037,1.0,0.6964,2.24,0.1498,7.62
17,True,True,True,528,443,281,85,0.9219,1.0,0.9161,1.0,0.6974,2.24,0.1384,7.62,0.9213,1.0,0.9237,1.0,0.7044,2.24,0.1269,7.64,0.9219,1.0,0.9161,1.0,0.6974,2.24,0.1384,7.62
18,True,True,True,534,443,297,91,0.8956,1.0,0.9076,1.0,0.7124,2.24,0.1146,7.62,0.8995,1.0,0.9161,1.0,0.7203,2.24,0.1096,7.62,0.8995,1.0,0.9161,1.0,0.7203,2.24,0.1096,7.62
19,True,True,True,541,445,298,96,0.8794,1.41,0.9028,1.0,0.7037,2.24,0.102,7.81,0.8842,1.41,0.9104,1.0,0.7107,2.24,0.1,7.82,0.8842,1.41,0.9104,1.0,0.7107,2.24,0.1,7.82
20,True,True,True,542,449,303,93,0.9139,1.0,0.8891,1.0,0.7014,2.24,0.1682,7.88,0.9106,1.0,0.8911,1.0,0.6998,2.24,0.1635,8.0,0.9139,1.0,0.8891,1.0,0.7014,2.24,0.1682,7.88
21,True,True,True,553,445,295,108,0.9099,1.0,0.8691,1.41,0.6751,2.24,0.2038,7.62,0.9096,1.0,0.8737,1.41,0.6745,2.24,0.2027,7.62,0.9099,1.0,0.8691,1.41,0.6751,2.24,0.2038,7.62
22,True,True,True,559,436,280,123,0.9074,1.0,0.8907,1.0,0.6804,2.24,0.1922,7.62,0.9076,1.0,0.9009,1.0,0.6874,2.0,0.1827,7.62,0.9076,1.0,0.9009,1.0,0.6874,2.0,0.1827,7.62
23,True,True,True,558,420,262,138,0.927,1.0,0.8768,1.41,0.655,2.0,0.2604,7.11,0.9229,1.0,0.8824,1.41,0.6599,2.0,0.2478,7.15,0.927,1.0,0.8768,1.41,0.655,2.0,0.2604,7.11
24,True,True,True,562,417,268,145,0.921,1.0,0.8724,1.41,0.6642,2.17,0.2632,7.07,0.9238,1.0,0.8814,1.41,0.6717,2.0,0.2589,7.13,0.9238,1.0,0.8814,1.41,0.6717,2.0,0.2589,7.13
25,True,True,True,558,415,277,143,0.9035,1.0,0.8856,1.0,0.6926,2.05,0.2202,7.07,0.9013,1.0,0.8894,1.0,0.6961,2.0,0.2124,7.07,0.9035,1.0,0.8856,1.0,0.6926,2.05,0.2202,7.07
26,True,True,True,551,405,274,146,0.8898,1.41,0.917,1.0,0.7273,1.41,0.171,7.08,0.8814,2.0,0.9284,1.0,0.7374,1.41,0.145,7.17,0.8898,1.41,0.917,1.0,0.7273,1.41,0.171,7.08
