slice_idx,patient_has_et,slice_has_et,slice_has_tc,wt_pixels,tc_pixels,et_pixels,ed_pixels,rough_wt_dsc,rough_wt_hd95,rough_tc_dsc,rough_tc_hd95,rough_et_dsc,rough_et_hd95,rough_ed_dsc,rough_ed_hd95,morpho_wt_dsc,morpho_wt_hd95,morpho_tc_dsc,morpho_tc_hd95,morpho_et_dsc,morpho_et_hd95,morpho_ed_dsc,morpho_ed_hd95,rl_wt_dsc,rl_wt_hd95,rl_tc_dsc,rl_tc_hd95,rl_et_dsc,rl_et_hd95,rl_ed_dsc,rl_ed_hd95
0,True,True,True,49,46,46,3,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf
1,True,True,True,102,74,74,28,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf
2,True,True,True,152,122,122,30,0.5725,4.24,0.487,5.0,0.487,5.0,0.1467,8.6,0.6166,3.61,0.527,4.24,0.527,4.24,0.1617,8.06,0.5725,4.24,0.487,5.0,0.487,5.0,0.1467,8.6
3,True,True,True,184,165,161,19,0.8852,1.0,0.8646,1.0,0.8513,1.0,0.1194,7.07,0.8509,1.0,0.8845,1.0,0.8696,1.0,0.0382,7.07,0.8852,1.0,0.8646,1.0,0.8513,1.0,0.1194,7.07
4,True,True,True,219,203,195,16,0.6311,4.12,0.5988,4.24,0.5821,4.24,0.0652,10.02,0.6708,3.16,0.6374,3.61,0.62,3.61,0.0711,9.49,0.6311,4.12,0.5988,4.24,0.5821,4.24,0.0652,10.02
5,True,True,True,269,246,228,23,0.5203,6.32,0.4866,6.4,0.4592,6.4,0.0584,7.28,0.5569,5.66,0.5217,5.81,0.493,5.83,0.0639,7.07,0.5203,6.32,0.4866,6.4,0.4592,6.4,0.0584,7.28
6,True,True,True,300,287,263,13,0.6,5.0,0.5816,5.1,0.5462,5.1,0.0365,13.04,0.641,4.12,0.6219,4.24,0.5851,4.24,0.0401,12.65,0.6,5.0,0.5816,5.1,0.5462,5.1,0.0365,13.04
7,True,True,True,336,322,283,14,0.9091,1.0,0.8876,1.0,0.8232,1.41,0.0693,7.28,0.9403,1.0,0.9183,1.0,0.8517,1.0,0.0767,7.55,0.9091,1.0,0.8876,1.0,0.8232,1.41,0.0693,7.28
8,True,True,True,354,347,293,7,0.7045,3.61,0.6954,4.0,0.6208,4.0,0.0213,16.64,0.7476,3.0,0.7383,3.0,0.6614,3.0,0.0233,15.66,0.7045,3.61,0.6954,4.0,0.6208,4.0,0.0213,16.64
9,True,True,True,379,368,297,11,0.3339,13.45,0.3258,13.45,0.2715,13.55,0.0116,25.49,0.3496,12.73,0.3412,12.81,0.2848,12.81,0.0122,24.76,0.3339,13.45,0.3258,13.45,0.2715,13.55,0.0116,25.49
10,True,True,True,400,385,301,15,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf
11,True,True,True,409,388,286,21,0.4278,10.3,0.4104,10.63,0.3197,10.71,0.0276,12.51,0.4537,9.43,0.4355,9.9,0.3405,9.9,0.0297,12.04,0.4278,10.3,0.4104,10.63,0.3197,10.71,0.0276,12.51
12,True,True,True,437,402,277,35,0.6877,3.16,0.7258,2.24,0.4664,3.0,0.0,8.06,0.6215,4.04,0.6578,3.61,0.384,4.0,0.0,8.57,0.6877,3.16,0.7258,2.24,0.4664,3.0,0.0,8.06
13,True,True,True,469,414,262,55,0.6104,3.61,0.6645,2.83,0.3333,3.16,0.0,8.6,0.4723,7.0,0.5188,5.0,0.1769,5.0,0.0,9.43,0.6104,3.61,0.6645,2.83,0.3333,3.16,0.0,8.6
14,True,True,True,493,429,281,64,0.5817,6.0,0.5261,7.28,0.379,7.62,0.1011,8.2,0.6225,5.0,0.5645,6.4,0.4096,6.4,0.1108,8.06,0.5817,6.0,0.5261,7.28,0.379,7.62,0.1011,8.2
15,True,True,True,511,439,298,72,0.852,1.0,0.8707,1.0,0.6362,2.83,0.1015,8.34,0.7716,2.83,0.8342,2.0,0.5687,3.0,0.0204,8.54,0.852,1.0,0.8707,1.0,0.6362,2.83,0.1015,8.34
16,True,True,True,519,446,289,73,0.7105,3.61,0.6427,5.0,0.4695,5.1,0.1438,7.02,0.7538,3.0,0.684,4.1,0.5039,4.12,0.1568,7.07,0.7105,3.61,0.6427,5.0,0.4695,5.1,0.1438,7.02
17,True,True,True,528,443,281,85,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf
18,True,True,True,534,443,297,91,0.5212,8.06,0.4525,9.22,0.3278,9.43,0.1133,9.22,0.5463,7.21,0.4753,8.54,0.3458,8.54,0.1204,8.49,0.5212,8.06,0.4525,9.22,0.3278,9.43,0.1133,9.22
19,True,True,True,541,445,298,96,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf
20,True,True,True,542,449,303,93,0.8443,2.0,0.758,3.61,0.578,3.61,0.2233,7.35,0.8795,1.41,0.7982,2.83,0.6113,3.02,0.2332,7.62,0.8443,2.0,0.758,3.61,0.578,3.61,0.2233,7.35
21,True,True,True,553,445,295,108,0.9076,1.0,0.8041,3.16,0.6116,3.61,0.2819,7.28,0.9387,1.0,0.8395,2.83,0.6425,3.16,0.2927,7.62,0.9076,1.0,0.8041,3.16,0.6116,3.61,0.2819,7.28
22,True,True,True,559,436,280,123,0.7293,3.61,0.6184,6.32,0.4466,6.4,0.2242,7.0,0.7658,2.83,0.6522,5.0,0.4742,5.39,0.2402,7.07,0.7293,3.61,0.6184,6.32,0.4466,6.4,0.2242,7.0
23,True,True,True,558,420,262,138,0.674,5.1,0.5578,7.21,0.3887,7.5,0.219,7.07,0.7124,4.12,0.5974,6.08,0.4199,6.4,0.2313,6.4,0.674,5.1,0.5578,7.21,0.3887,7.5,0.219,7.07
24,True,True,True,562,417,268,145,0.0884,12.88,0.1174,9.48,0.034,10.0,0.0,16.28,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0884,12.88,0.1174,9.48,0.034,10.0,0.0,16.28
25,True,True,True,558,415,277,143,0.9176,1.0,0.867,1.41,0.6684,2.24,0.2726,7.07,0.9009,1.0,0.8973,1.0,0.6911,2.0,0.2185,7.21,0.9176,1.0,0.867,1.41,0.6684,2.24,0.2726,7.07
26,True,True,True,551,405,274,146,0.4681,9.85,0.3668,13.42,0.2638,13.45,0.1498,10.0,0.4909,8.94,0.3859,12.53,0.2785,12.7,0.1587,9.22,0.4681,9.85,0.3668,13.42,0.2638,13.45,0.1498,10.0
27,True,True,True,538,394,262,144,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf
28,True,True,True,525,375,260,150,0.5627,7.07,0.4371,11.31,0.3248,11.4,0.2012,8.6,0.5902,6.32,0.4604,10.63,0.3435,10.77,0.2137,8.06,0.5627,7.07,0.4371,11.31,0.3248,11.4,0.2012,8.6
29,True,True,True,525,357,251,168,0.7609,2.0,0.8135,2.0,0.6017,2.24,0.187,7.0,0.6641,4.0,0.7896,2.24,0.5469,3.0,0.0793,7.48,0.7609,2.0,0.8135,2.0,0.6017,2.24,0.187,7.0
30,True,True,True,495,340,246,155,0.6676,5.0,0.5388,7.81,0.4212,7.81,0.247,7.07,0.6948,4.33,0.5676,6.71,0.4457,7.07,0.2567,7.0,0.6676,5.0,0.5388,7.81,0.4212,7.81,0.247,7.07
31,True,True,True,478,320,254,158,0.3686,7.05,0.5047,5.0,0.3149,5.09,0.0,8.86,0.2555,10.2,0.359,8.0,0.2099,8.06,0.0,12.88,0.3686,7.05,0.5047,5.0,0.3149,5.09,0.0,8.86
32,True,True,True,435,294,243,141,0.2669,17.2,0.1885,22.67,0.1584,22.8,0.0951,18.21,0.277,16.55,0.196,22.14,0.1648,22.18,0.0991,17.49,0.2669,17.2,0.1885,22.67,0.1584,22.8,0.0951,18.21
