slice_idx,patient_has_et,slice_has_et,slice_has_tc,wt_pixels,tc_pixels,et_pixels,ed_pixels,rough_wt_dsc,rough_wt_hd95,rough_tc_dsc,rough_tc_hd95,rough_et_dsc,rough_et_hd95,rough_ed_dsc,rough_ed_hd95,morpho_wt_dsc,morpho_wt_hd95,morpho_tc_dsc,morpho_tc_hd95,morpho_et_dsc,morpho_et_hd95,morpho_ed_dsc,morpho_ed_hd95,rl_wt_dsc,rl_wt_hd95,rl_tc_dsc,rl_tc_hd95,rl_et_dsc,rl_et_hd95,rl_ed_dsc,rl_ed_hd95
0,True,True,True,49,46,46,3,0.4455,4.24,0.424,4.24,0.424,4.24,0.0345,10.79,0.4495,4.24,0.4279,4.24,0.4279,4.24,0.0349,10.63,0.4455,4.24,0.424,4.24,0.424,4.24,0.0345,10.79
1,True,True,True,102,74,74,28,0.7059,8.04,0.567,8.94,0.567,8.94,0.2605,9.0,0.7365,2.0,0.5944,3.0,0.5944,3.0,0.2759,5.0,0.7059,8.04,0.567,8.94,0.567,8.94,0.2605,9.0
2,True,True,True,152,122,122,30,0.8197,1.41,0.7262,2.24,0.7262,2.24,0.2295,7.19,0.8696,1.0,0.7746,1.41,0.7746,1.41,0.2511,7.21,0.8197,1.41,0.7262,2.24,0.7262,2.24,0.2295,7.19
3,True,True,True,184,165,161,19,0.6411,7.28,0.5946,7.38,0.5844,7.45,0.0929,10.03,0.7863,2.24,0.735,2.83,0.7236,2.83,0.1254,8.06,0.6411,7.28,0.5946,7.38,0.5844,7.45,0.0929,10.03
4,True,True,True,219,203,195,16,0.7993,3.16,0.7632,3.16,0.7443,3.16,0.0928,9.43,0.8375,1.94,0.8008,2.0,0.7816,2.0,0.1,8.95,0.7993,3.16,0.7632,3.16,0.7443,3.16,0.0928,9.43
5,True,True,True,269,246,228,23,0.8037,4.12,0.7634,4.47,0.7273,4.47,0.1071,7.21,0.8436,2.0,0.8156,2.24,0.7784,2.24,0.0978,7.0,0.8037,4.12,0.7634,4.47,0.7273,4.47,0.1071,7.21
6,True,True,True,300,287,263,13,0.8715,2.0,0.8554,2.0,0.8125,2.0,0.0564,10.44,0.902,1.0,0.8921,1.0,0.8482,1.0,0.0506,10.77,0.8715,2.0,0.8554,2.0,0.8125,2.0,0.0564,10.44
7,True,True,True,336,322,283,14,0.8827,2.0,0.8644,2.0,0.8017,2.0,0.0595,8.29,0.9121,1.0,0.8936,1.0,0.8296,1.0,0.064,7.62,0.8827,2.0,0.8644,2.0,0.8017,2.0,0.0595,8.29
8,True,True,True,354,347,293,7,0.8399,2.24,0.8301,2.24,0.7494,2.8,0.0282,15.01,0.8592,2.0,0.8494,2.0,0.768,2.0,0.0294,15.01,0.8399,2.24,0.8301,2.24,0.7494,2.8,0.0282,15.01
9,True,True,True,379,368,297,11,0.828,3.61,0.8137,3.61,0.7124,4.0,0.0404,15.81,0.8381,3.0,0.8238,3.08,0.722,3.61,0.0412,15.71,0.828,3.61,0.8137,3.61,0.7124,4.0,0.0404,15.81
